    |   'asCast'    |    'attrib'    |    'bitAnd'    |    'bitOr'     |   'bitShift'   |    'bitXor'    |     'bool'     |     'char'     |   'clBraces'   |  'clBrackets'  |   'clParen'    |    'comma'     |   'elifSel'    |   'elseSel'    |  'entryPoint'  |   'eqOrDiff'   |     'exp'      |   'function'   |      'id'      |    'ifSel'     |     'int'      |    'isType'    |   'logicAnd'   |   'logicOr'    |    'minus'     |     'mult'     |      'of'      |   'opBraces'   |  'opBrackets'  |   'opParen'    |     'plus'     |     'real'     |  'relational'  |    'repeat'    |  'returnFun'   |    'scynot'    |    'string'    |      'to'      |  'typeArray'   |   'typeBool'   |   'typeChar'   |   'typeInt'    |   'typeReal'   |  'typeString'  |    'unary'     |  'whileLoop'   |      EOF       |     Array      |    ArrayPos    |     Attrib     |      Body      |      Code      |    DeclFunc    |  DeclFuncOpt   |    DeclVars    |      ElIf      |    ElIfAux     |      Expr      |    ExprAdd     |    ExprAnd     |    ExprBand    |    ExprBor     |    ExprBxor    |    ExprCast    |     ExprEq     |    ExprFac     |    ExprMult    |    ExprPow     |    ExprRel     |   ExprShift    |   ExprUnary    |    FuncCall    |  FuncDeclVar   |    IdsList     |       If       |   LeftAttrib   |      Line      |     Lines      |    Literal     |      Loop      |   ParamList    |   Statement    |      Type      |   TypeArray    |     Value
I_58|     s101      |     Error      |  r1 ExprCast   |  r1 ExprCast   |  r1 ExprCast   |  r1 ExprCast   |     Error      |     Error      |  r1 ExprCast   |  r1 ExprCast   |  r1 ExprCast   |  r1 ExprCast   |     Error      |     Error      |     Error      |  r1 ExprCast   |  r1 ExprCast   |     Error      |  r1 ExprCast   |  r1 ExprCast   |     Error      |     Error      |  r1 ExprCast   |  r1 ExprCast   |  r1 ExprCast   |  r1 ExprCast   |     Error      |     Error      |     Error      |     Error      |  r1 ExprCast   |     Error      |  r1 ExprCast   |  r1 ExprCast   |  r1 ExprCast   |     Error      |     Error      |  r1 ExprCast   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_59|   r1 Value    |     Error      |    r1 Value    |    r1 Value    |    r1 Value    |    r1 Value    |     Error      |     Error      |    r1 Value    |    r1 Value    |    r1 Value    |    r1 Value    |     Error      |     Error      |     Error      |    r1 Value    |    r1 Value    |     Error      |    r1 Value    |    r1 Value    |     Error      |     Error      |    r1 Value    |    r1 Value    |    r1 Value    |    r1 Value    |     Error      |     Error      |     Error      |     Error      |    r1 Value    |     Error      |    r1 Value    |    r1 Value    |    r1 Value    |     Error      |     Error      |    r1 Value    |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_60|  r3 Literal   |     Error      |   r3 Literal   |   r3 Literal   |   r3 Literal   |   r3 Literal   |     Error      |     Error      |   r3 Literal   |   r3 Literal   |   r3 Literal   |   r3 Literal   |     Error      |     Error      |     Error      |   r3 Literal   |   r3 Literal   |     Error      |   r3 Literal   |   r3 Literal   |     Error      |     Error      |   r3 Literal   |   r3 Literal   |   r3 Literal   |   r3 Literal   |     Error      |     Error      |     Error      |     Error      |   r3 Literal   |     Error      |   r3 Literal   |   r3 Literal   |   r3 Literal   |     Error      |     Error      |   r3 Literal   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_61|  r5 Literal   |     Error      |   r5 Literal   |   r5 Literal   |   r5 Literal   |   r5 Literal   |     Error      |     Error      |   r5 Literal   |   r5 Literal   |   r5 Literal   |   r5 Literal   |     Error      |     Error      |     Error      |   r5 Literal   |   r5 Literal   |     Error      |   r5 Literal   |   r5 Literal   |     Error      |     Error      |   r5 Literal   |   r5 Literal   |   r5 Literal   |   r5 Literal   |     Error      |     Error      |     Error      |     Error      |   r5 Literal   |     Error      |   r5 Literal   |   r5 Literal   |   r5 Literal   |     Error      |     Error      |   r5 Literal   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_62|    Error      |     Error      |   r1 ExprEq    |   r1 ExprEq    |     Error      |   r1 ExprEq    |     Error      |     Error      |   r1 ExprEq    |   r1 ExprEq    |   r1 ExprEq    |   r1 ExprEq    |     Error      |     Error      |     Error      |   r1 ExprEq    |     Error      |     Error      |   r1 ExprEq    |   r1 ExprEq    |     Error      |     Error      |   r1 ExprEq    |   r1 ExprEq    |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |      s102      |   r1 ExprEq    |   r1 ExprEq    |     Error      |     Error      |   r1 ExprEq    |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_63|    Error      |     Error      |   r1 ExprPow   |   r1 ExprPow   |   r1 ExprPow   |   r1 ExprPow   |     Error      |     Error      |   r1 ExprPow   |   r1 ExprPow   |   r1 ExprPow   |   r1 ExprPow   |     Error      |     Error      |     Error      |   r1 ExprPow   |   r1 ExprPow   |     Error      |   r1 ExprPow   |   r1 ExprPow   |     Error      |     Error      |   r1 ExprPow   |   r1 ExprPow   |   r1 ExprPow   |   r1 ExprPow   |     Error      |     Error      |     Error      |     Error      |   r1 ExprPow   |     Error      |   r1 ExprPow   |   r1 ExprPow   |   r1 ExprPow   |     Error      |     Error      |   r1 ExprPow   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_64|  r0 Literal   |     Error      |   r0 Literal   |   r0 Literal   |   r0 Literal   |   r0 Literal   |     Error      |     Error      |   r0 Literal   |   r0 Literal   |   r0 Literal   |   r0 Literal   |     Error      |     Error      |     Error      |   r0 Literal   |   r0 Literal   |     Error      |   r0 Literal   |   r0 Literal   |     Error      |     Error      |   r0 Literal   |   r0 Literal   |   r0 Literal   |   r0 Literal   |     Error      |     Error      |     Error      |     Error      |   r0 Literal   |     Error      |   r0 Literal   |   r0 Literal   |   r0 Literal   |     Error      |     Error      |   r0 Literal   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_65|  r1 Literal   |     Error      |   r1 Literal   |   r1 Literal   |   r1 Literal   |   r1 Literal   |     Error      |     Error      |   r1 Literal   |   r1 Literal   |   r1 Literal   |   r1 Literal   |     Error      |     Error      |     Error      |   r1 Literal   |   r1 Literal   |     Error      |   r1 Literal   |   r1 Literal   |     Error      |     Error      |   r1 Literal   |   r1 Literal   |   r1 Literal   |   r1 Literal   |     Error      |     Error      |     Error      |     Error      |   r1 Literal   |     Error      |   r1 Literal   |   r1 Literal   |   r1 Literal   |     Error      |     Error      |   r1 Literal   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_66|    Error      |     Error      |     Error      |   r1 ExprBor   |     Error      |      s103      |     Error      |     Error      |   r1 ExprBor   |   r1 ExprBor   |   r1 ExprBor   |   r1 ExprBor   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |   r1 ExprBor   |   r1 ExprBor   |     Error      |     Error      |   r1 ExprBor   |   r1 ExprBor   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |   r1 ExprBor   |   r1 ExprBor   |     Error      |     Error      |   r1 ExprBor   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
I_67|  r2 Literal   |     Error      |   r2 Literal   |   r2 Literal   |   r2 Literal   |   r2 Literal   |     Error      |     Error      |   r2 Literal   |   r2 Literal   |   r2 Literal   |   r2 Literal   |     Error      |     Error      |     Error      |   r2 Literal   |   r2 Literal   |     Error      |   r2 Literal   |   r2 Literal   |     Error      |     Error      |   r2 Literal   |   r2 Literal   |   r2 Literal   |   r2 Literal   |     Error      |     Error      |     Error      |     Error      |   r2 Literal   |     Error      |   r2 Literal   |   r2 Literal   |   r2 Literal   |     Error      |     Error      |   r2 Literal   |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error      |     Error
